day,topic,telugu,pronunciation,english,sort_order
1,Greetings,నమస్కారం,Namaskaram,Hello,1
1,Greetings,మీరు ఎలా ఉన్నారు?,Meeru ela unnaru?,How are you?,2
1,Greetings,నేను బాగున్నాను,Nenu bagunnanu,I am fine,3
1,Greetings,శుభోదయం,Shubhodayam,Good morning,4
1,Greetings,శుభరాత్రి,Shubharatri,Good night,5
1,Greetings,మళ్ళీ కలుద్దాం,Malli kaluddam,See you later,6
1,Greetings,భోజనం చేశారా?,Bhojanam chesara?,Had your meal?,7
1,Greetings,స్వాగతం,Swagatam,Welcome,8
1,Greetings,ఏంటి సంగతులు?,Enti sangatulu?,What's up?,9
1,Greetings,అంతా బాగుంది,Antha bagundi,Everything is good,10
2,Introductions,మీ పేరు ఏమిటి?,Mee peru emiti?,What is your name?,1
2,Introductions,నా పేరు రాహుల్,Naa peru Rahul,My name is Rahul,2
2,Introductions,మీరు ఎక్కడి నుండి వచ్చారు?,Meeru ekkadi nundi vacharu?,Where are you from?,3
2,Introductions,నేను అమెరికా నుండి వచ్చాను,Nenu America nundi vachanu,I am from America,4
2,Introductions,మిమ్మల్ని కలవడం సంతోషంగా ఉంది,Mimmalni kalavadam santhoshanga undi,Nice to meet you,5
2,Introductions,మీ వయస్సు ఎంత?,Mee vayassu entha?,How old are you?,6
2,Introductions,మీరు ఏం చేస్తుంటారు?,Meeru em chesthuntaru?,What do you do?,7
2,Introductions,నేను విద్యార్థిని,Nenu vidyarthini,I am a student,8
2,Introductions,నేను ఆఫీస్ లో పని చేస్తున్నాను,Nenu office lo pani chesthunnanu,I work in an office,9
2,Introductions,మీకు ఇంగ్లీష్ వచ్చా?,Meeku English vachaa?,Do you speak English?,10
3,Basic conversation,అవును,Avunu,Yes,1
3,Basic conversation,కాదు / లేదు,Kaadu / Ledu,No,2
3,Basic conversation,నాకు తెలియదు,Naaku teliyadu,I don't know,3
3,Basic conversation,నాకు తెలుసు,Naaku telusu,I know,4
3,Basic conversation,ఇది ఏమిటి?,Idi emiti?,What is this?,5
3,Basic conversation,ఏం జరిగింది?,Em jarigindi?,What happened?,6
3,Basic conversation,ఎందుకు?,Enduku?,Why?,7
3,Basic conversation,ఎప్పుడు?,Eppudu?,When?,8
3,Basic conversation,ఎక్కడ?,Ekkada?,Where?,9
3,Basic conversation,ఎవరు?,Evaru?,Who?,10
4,Polite words,దయచేసి,Dayachesi,Please,1
4,Polite words,ధన్యవాదాలు,Dhanyavadalu,Thank you,2
4,Polite words,క్షమించండి,Kshaminchandi,Sorry,3
4,Polite words,కొంచెం వినండి,Konchem vinandi,Excuse me,4
4,Polite words,పర్వాలేదు,Parvaledu,No problem,5
4,Polite words,నాకు సహాయం చేయగలరా?,Naaku sahayam cheyagalara?,Can you help me?,6
4,Polite words,నేను లోపలికి రావచ్చా?,Nenu lopaliki ravachaa?,May I come in?,7
4,Polite words,కూర్చోండి,Kurchondi,Please sit down,8
4,Polite words,దయచేసి చెప్పండి,Dayachesi cheppandi,Please tell me,9
4,Polite words,మళ్ళీ చెప్తారా?,Malli cheptara?,Could you repeat that?,10
5,Food,నాకు ఆకలిగా ఉంది,Naaku aakaliga undi,I am hungry,1
5,Food,నాకు దాహంగా ఉంది,Naaku daahanga undi,I am thirsty,2
5,Food,టిఫిన్ ఏంటి?,Tiffin enti?,What is for breakfast?,3
5,Food,భోజనం చాలా బాగుంది,Bhojanam chala bagundi,The food is delicious,4
5,Food,నీళ్లు కావాలా?,Neellu kavalaa?,Do you want water?,5
5,Food,నేను మాంసం తినను,Nenu maamsam tinanu,I don't eat meat,6
5,Food,మెనూ తీసుకురండి,Menu teesukurandi,Bring the menu,7
5,Food,బిల్లు తీసుకురండి,Bill teesukurandi,Check please,8
5,Food,ఇది కారంగా ఉంది,Idi kaaranga undi,It is spicy,9
5,Food,ఇంకొంచెం తీసుకోండి,Inkonchem teesukondi,Have some more,10
6,Numbers,"ఒకటి, రెండు, మూడు","Okati, rendu, moodu","One, two, three",1
6,Numbers,"నాలుగు, ఐదు, ఆరు","Nalugu, aidu, aaru","Four, five, six",2
6,Numbers,"ఏడు, ఎనిమిది, తొమ్మిది, పది","Aedu, enimidi, tommidi, padi","Seven, eight, nine, ten",3
6,Numbers,దీని ధర ఎంత?,Deeni dhara entha?,How much is this?,4
6,Numbers,నాకు రెండు ఇవ్వండి,Naaku rendu ivvandi,Give me two,5
6,Numbers,నాకు వంద రూపాయలు కావాలి,Naaku vanda rupayalu kavali,I need hundred rupees,6
6,Numbers,"ఇరవై, ముప్పై, నలభై","Iravai, muppai, nalabhai","Twenty, thirty, forty",7
6,Numbers,"యాభై, అరవై, డెబ్బై","Yaabhai, aravai, debbai","Fifty, sixty, seventy",8
6,Numbers,వెయ్యి రూపాయలు,Veyyi rupayalu,Thousand rupees,9
6,Numbers,చిల్లర ఉందా?,Chillara undaa?,Do you have change?,10
7,Time,టైమ్ ఎంత అయింది?,Time entha ayindi?,What time is it?,1
7,Time,తొమ్మిది గంటలు అయింది,Tommidi gantalu ayindi,It is 9 o'clock,2
7,Time,రేపు రండి,Repu randi,Come tomorrow,3
7,Time,నేను నిన్న వెళ్ళాను,Nenu ninna vellanu,I went yesterday,4
7,Time,ఈరోజు ఏం చేస్తున్నారు?,Eeroju em chesthunnaru?,What are you doing today?,5
7,Time,ఒక నిమిషం ఆగు,Oka nimisham aagu,Wait a minute,6
7,Time,ఒక గంటలో వస్తాను,Oka gantalo vastanu,I will come in an hour,7
7,Time,"ఉదయం, మధ్యాహ్నం, రాత్రి","Udayam, madhyahnam, ratri","Morning, afternoon, night",8
7,Time,చాలా ఆలస్యం అయింది,Chala aalasyam ayindi,It is very late,9
7,Time,రేపు కలుద్దాం,Repu kaluddam,See you tomorrow,10
8,Family,మీ కుటుంబం ఎలా ఉంది?,Mee kutumbam ela undi?,How is your family?,1
8,Family,అతను ఎవరు?,Atanu evaru?,Who is he?,2
8,Family,అతను మా తమ్ముడు,Atanu maa tammudu,He is my younger brother,3
8,Family,ఆమె మా అక్క,Aame maa akka,She is my elder sister,4
8,Family,అమ్మ మరియు నాన్న,Amma mariyu nanna,Mother and father,5
8,Family,మీకు పెళ్లి అయిందా?,Meeku pelli ayindaa?,Are you married?,6
8,Family,నాకు ఇద్దరు పిల్లలు,Naaku iddaru pillalu,I have two kids,7
8,Family,అతను నా స్నేహితుడు,Atanu naa snehitudu,He is my friend,8
8,Family,మీ అమ్మానాన్నలు ఎక్కడ ఉంటారు?,Mee ammanannalu ekkada untaru?,Where do your parents live?,9
8,Family,మా కుటుంబం ఇండియాలో ఉంది,Maa kutumbam India-lo undi,My family is in India,10
9,Daily activities,నేను త్వరగా నిద్ర లేచాను,Nenu tvaraga nidra lechanu,I woke up early,1
9,Daily activities,నేను బ్రష్ చేసుకుంటున్నాను,Nenu brush chesukuntunnanu,I am brushing my teeth,2
9,Daily activities,నేను స్నానం చేస్తున్నాను,Nenu snanam chesthunnanu,I am taking a bath,3
9,Daily activities,నేను ఆఫీస్ కి వెళ్తున్నాను,Nenu office ki velthunnanu,I am going to work,4
9,Daily activities,నేను వంట చేస్తున్నాను,Nenu vanta chesthunnanu,I am cooking,5
9,Daily activities,నేను టీవీ చూస్తున్నాను,Nenu tv chusthunnanu,I am watching TV,6
9,Daily activities,నేను పుస్తకం చదువుతున్నాను,Nenu pustakam chaduvuthunnanu,I am reading a book,7
9,Daily activities,నేను ఇల్లు శుభ్రం చేస్తున్నాను,Nenu illu shubhram chesthunnanu,I am cleaning the house,8
9,Daily activities,నేను పడుకోబోతున్నాను,Nenu padukobothunnanu,I am going to sleep,9
9,Daily activities,ఈరోజు నేను చాలా అలసిపోయాను,Eeroju nenu chala alasipoyanu,I am very tired today,10
10,Travel,మీరు ఎక్కడికి వెళ్తున్నారు?,Meeru ekkadiki velthunnaru?,Where are you going?,1
10,Travel,నేను హైదరాబాద్ వెళ్తున్నాను,Nenu Hyderabad velthunnanu,I am going to Hyderabad,2
10,Travel,బస్సు ఎప్పుడు ఉంది?,Bus eppudu undi?,When is the bus?,3
10,Travel,నాకు ఒక టికెట్ ఇవ్వండి,Naaku oka ticket ivvandi,Give me a ticket,4
10,Travel,ఎంత సమయం పడుతుంది?,Entha samayam padutundi?,How long will it take?,5
10,Travel,రైలు ఆలస్యంగా వస్తుందా?,Train aalasyanga vastundaa?,Is the train late?,6
10,Travel,ఎయిర్‌పోర్ట్ ఎక్కడ ఉంది?,Airport ekkada undi?,Where is the airport?,7
10,Travel,నాకు టాక్సీ కావాలి,Naaku taxi kavali,I want to hire a taxi,8
10,Travel,ఇక్కడ ఆపండి,Ikkada aapandi,Stop here,9
10,Travel,ప్రయాణం సురక్షితంగా జరగాలి,Prayanam surakshitanga jaragali,Have a safe journey,10
11,Shopping,నేను బట్టలు కొనాలి,Nenu battalu konali,I want to buy clothes,1
11,Shopping,దీని ధర ఎంత?,Deeni dhara entha?,What is the price of this?,2
11,Shopping,ఇది చాలా ఖరీదైనది,Idi chala khareedainadi,It is too expensive,3
11,Shopping,కొంచెం తగ్గించండి,Konchem tagginchandi,Give me a discount,4
11,Shopping,ఇందులో వేరే రంగు ఉందా?,Indulo vere rangu undaa?,Do you have this in a different color?,5
11,Shopping,నేను ఇది వేసుకుని చూడవచ్చా?,Nenu idi vesukuni chudavachaa?,Can I try this on?,6
11,Shopping,నాకు ఇది నచ్చలేదు,Naaku idi nachaledu,I don't like this,7
11,Shopping,నేను ఇది కొంటాను,Nenu idi kontanu,I will buy this,8
11,Shopping,మీరు కార్డ్ తీసుకుంటారా?,Meeru card teesukuntara?,Do you take cards?,9
11,Shopping,దయచేసి ప్యాక్ చేయండి,Dayachesi pack cheyandi,Please pack it,10
12,Asking directions,ఆసుపత్రి ఎక్కడ ఉంది?,Aasupatri ekkada undi?,Where is the hospital?,1
12,Asking directions,తిన్నగా వెళ్ళండి,Tinnaga vellandi,Go straight,2
12,Asking directions,ఎడమ వైపు తిరగండి,Edama vaipu tiragandi,Turn left,3
12,Asking directions,కుడి వైపు తిరగండి,Kudi vaipu tiragandi,Turn right,4
